,cosea_altitudes (km),cosea_pressures (Pa),model_pressures (Pa)
0,143.921,0.0005960230992736116,0.0005960300031304655
1,134.117,0.0009826982514124006,0.0009826900182474674
2,125.995,0.0016201929445265348,0.0016201850527863826
3,119.39,0.0026712534914404675,0.002671225107775399
4,114.09100000000001,0.00440401495037637,0.004404100018007284
5,109.83200000000001,0.00726104678569316,0.007261274781455995
6,106.265,0.011972105902817665,0.011971900093499244
7,103.002,0.01973716169106401,0.019738000389679655
8,99.903,0.03253953500584214,0.03254225049431625
9,96.991,0.05365509013080568,0.053653251086416276
10,94.133,0.08846276081883485,0.08846024854847201
11,91.3,0.14585076044879508,0.1458457461467333
12,88.47800000000001,0.24044857265937788,0.24045749569268082
13,85.64,0.39784716221945776,0.3978249878855422
14,82.781,0.6557127200318286,0.6556825610459782
15,79.836,1.0813989969864657,1.0813825610966887
16,76.784,1.789919034471661,1.789799989637686
17,73.658,2.9559304603362633,2.9557750167441554
18,70.45,4.873046903279975,4.873074976785574
19,67.154,7.990862130366803,7.991075108293444
20,63.876000000000005,12.82679196087025,12.827324826503173
21,60.754,19.81079590787013,19.811999663943425
22,57.874,29.20367330324055,29.202500445535406
23,55.279,41.01663989244953,41.016750037670135
24,52.931000000000004,55.3465223918695,55.34699885174632
25,50.709,73.04354676763667,73.04799801204354
26,48.544000000000004,95.59571035568159,95.59475001879036
27,46.426,124.47170768513118,124.47949848137796
28,44.385,161.29250603916503,161.28499992191792
29,42.427,207.94306538226076,207.93249714188278
30,40.548,266.7431840082724,266.74249675124884
31,38.744,340.49130492692257,340.48750530928373
32,37.013,432.43441965650806,432.45749548077583
33,35.351,546.5146695948134,546.5399939566851
34,33.755,687.3344577299584,687.2850004583597
35,32.225,859.9121014783153,859.972508624196
36,30.747,1070.7722421959431,1070.705009624362
37,29.314,1326.3897897893805,1326.4750130474567
38,27.922,1635.2594582030752,1635.175058618188
39,26.573,2005.702754301881,2005.6750625371933
40,25.265,2447.9152089533195,2447.899989783764
41,23.997,2973.025163546066,2972.79991209507
42,22.77,3592.2247836768524,3592.3250019550323
43,21.581,4319.670258905369,4319.37500834465
44,20.432000000000002,5167.552094588573,5167.749896645546
45,19.319,6151.939953457868,6152.049824595451
46,18.162,7375.357283929239,7375.095784664154
47,17.049,8781.83664742406,8782.123029232025
48,16.013,10331.590918603024,10331.712663173676
49,14.977,12155.47544429015,12154.724076390266
50,13.942,14299.8481763225,14299.403876066208
51,12.907,16823.40041858531,16822.507977485657
52,11.873000000000001,19790.2280456611,19790.80867022276
53,10.838000000000001,23283.357580311123,23282.86189585924
54,9.782,27392.984528847155,27391.081675887108
55,8.694,32224.175718334376,32224.19023513794
56,7.572,37908.72007902558,37910.09038686752
57,6.415,44597.22323114412,44599.2574095726
58,5.222,52466.608893059114,52468.717470765114
59,4.085,60981.33477725567,60977.86948084831
60,3.111,69137.95437565625,69138.94303143024
61,2.326,76337.90108521217,76340.4481112957
62,1.741,82089.94458561043,82085.83686500788
63,1.367,85948.25758898181,85953.47665250301
64,1.108,88705.51616409073,88702.02489197254
65,0.873,91269.04137374581,91264.4546944648
66,0.662,93621.72854021436,93619.83984708786
67,0.47500000000000003,95747.76796966507,95748.5479535535
68,0.312,97632.78514219145,97632.5407391414
69,0.17400000000000002,99252.15449661382,99255.6095123291
